timestamp,mode,matrix_name,procs,run_id,time_avg,comm_time,comp_time,gflops,status
20260106_162929,strong,3_mawi.mtx,16,3,1.055786e+00,1.023232e+00,1.914649e-01,0.2560,OK
20260106_162929,strong,3_mawi.mtx,16,4,1.084997e+00,1.051972e+00,1.810520e-01,0.2491,OK
20260106_162929,strong,3_mawi.mtx,16,5,1.041563e+00,1.008662e+00,1.640013e-01,0.2595,OK
20260106_162929,strong,3_mawi.mtx,16,6,1.029982e+00,9.988307e-01,2.065930e-01,0.2624,OK
20260106_162929,strong,3_mawi.mtx,16,7,1.065989e+00,1.032505e+00,1.241332e-01,0.2535,OK
20260106_162929,strong,3_mawi.mtx,16,8,1.059408e+00,1.026417e+00,1.136523e-01,0.2551,OK
20260106_162929,strong,3_mawi.mtx,16,9,1.141309e+00,1.110221e+00,2.087710e-01,0.2368,OK
20260106_162929,strong,3_mawi.mtx,16,10,1.154271e+00,1.121936e+00,2.356719e-01,0.2341,OK
20260106_162929,strong,3_mawi.mtx,32,1,1.280023e+00,1.262885e+00,1.518229e-01,0.2111,OK
20260106_162929,strong,3_mawi.mtx,32,2,1.693754e+00,1.675906e+00,1.890023e-01,0.1595,OK
20260106_162929,strong,3_mawi.mtx,32,3,1.588183e+00,1.571817e+00,1.728681e-01,0.1702,OK
20260106_162929,strong,3_mawi.mtx,32,4,1.531269e+00,1.513658e+00,1.760146e-01,0.1765,OK
20260106_162929,strong,3_mawi.mtx,32,5,1.504482e+00,1.488713e+00,1.091063e-01,0.1796,OK
20260106_162929,strong,3_mawi.mtx,32,6,1.479188e+00,1.462951e+00,1.106813e-01,0.1827,OK
20260106_162929,strong,3_mawi.mtx,32,7,1.591922e+00,1.576398e+00,1.077287e-01,0.1698,OK
20260106_162929,strong,3_mawi.mtx,32,8,1.495022e+00,1.479173e+00,1.107500e-01,0.1808,OK
20260106_162929,strong,3_mawi.mtx,32,9,1.611739e+00,1.596108e+00,1.186324e-01,0.1677,OK
20260106_162929,strong,3_mawi.mtx,32,10,1.571022e+00,1.555276e+00,1.096817e-01,0.1720,OK
20260106_162929,strong,3_mawi.mtx,64,1,2.186807e+00,2.175833e+00,1.401706e-01,0.1236,OK
20260106_162929,strong,3_mawi.mtx,64,2,2.369170e+00,2.360097e+00,1.041755e-01,0.1141,OK
20260106_162929,strong,3_mawi.mtx,64,3,2.346876e+00,2.335284e+00,2.259961e-01,0.1151,OK
20260106_162929,strong,3_mawi.mtx,64,4,2.203022e+00,2.193670e+00,1.039388e-01,0.1227,OK
20260106_162929,strong,3_mawi.mtx,64,5,2.585749e+00,2.575774e+00,1.054505e-01,0.1045,OK
20260106_162929,strong,3_mawi.mtx,64,6,2.751483e+00,2.740344e+00,1.110738e-01,0.0982,OK
20260106_162929,strong,3_mawi.mtx,64,7,2.175214e+00,2.164731e+00,1.121538e-01,0.1242,OK
20260106_162929,strong,3_mawi.mtx,64,8,2.341302e+00,2.328279e+00,1.937415e-01,0.1154,OK
20260106_162929,strong,3_mawi.mtx,64,9,2.386368e+00,2.375836e+00,1.058325e-01,0.1132,OK
20260106_162929,strong,3_mawi.mtx,64,10,2.266820e+00,2.255579e+00,1.043519e-01,0.1192,OK
20260106_162929,strong,3_mawi.mtx,128,1,2.195030e+00,2.191453e+00,1.093387e-01,0.1231,OK
20260106_162929,strong,3_mawi.mtx,128,2,2.315913e+00,2.311122e+00,1.014187e-01,0.1167,OK
20260106_162929,strong,3_mawi.mtx,128,3,2.317710e+00,2.309197e+00,1.053537e-01,0.1166,OK
20260106_162929,strong,3_mawi.mtx,128,4,2.578483e+00,2.569471e+00,3.300930e-01,0.1048,OK
20260106_162929,strong,3_mawi.mtx,128,5,2.465839e+00,2.459238e+00,1.013959e-01,0.1096,OK
20260106_162929,strong,3_mawi.mtx,128,6,2.510143e+00,2.505025e+00,1.193690e-01,0.1077,OK
20260106_162929,strong,3_mawi.mtx,128,7,2.325409e+00,2.319853e+00,1.173867e-01,0.1162,OK
20260106_162929,strong,3_mawi.mtx,128,8,2.301414e+00,2.293887e+00,9.901440e-02,0.1174,OK
20260106_162929,strong,3_mawi.mtx,128,9,2.345637e+00,2.341261e+00,1.019588e-01,0.1152,OK
20260106_162929,strong,3_mawi.mtx,128,10,2.556793e+00,2.551459e+00,1.002294e-01,0.1057,OK
20260106_162929,strong,4_nlpkk.mtx,1,1,2.092504e-02,1.676297e-03,1.924838e-02,1.4226,OK
20260106_162929,strong,4_nlpkk.mtx,1,2,2.162795e-02,1.820350e-03,1.980711e-02,1.3763,OK
20260106_162929,strong,4_nlpkk.mtx,1,3,2.079081e-02,1.677732e-03,1.911273e-02,1.4317,OK
